englishVoc;germanVoc;lenEnglish;lenGerman;moreWords;1stLetter;lastLetter;control;type;irrVerbsInfinitive;irrVerbsSimplePast;irrVerbsPastParticiple
mountain;Berg;8;4;0;0;7;mountain;n;;;
lake;(Binnen-)See;4;12;0;0;3;lake;n;;;
barbecue;Grillfest, Grillparty;8;21;0;0;7;barbecue;n;;;
walk around;umhergehen, herumlaufen;11;23;5;5;10;around;v;;;
they weren't;sie waren nicht ...;12;19;5;5;11;weren't;r;;;
weather;Wetter;7;6;0;0;6;weather;n;;;
warm;warm;4;4;0;0;3;warm;a;;;
hot;heiß;3;4;0;0;2;hot;a;;;
cold;kalt;4;4;0;0;3;cold;a;;;
sunny;sonnig;5;6;0;0;4;sunny;a;;;
sun;Sonne;3;5;0;0;2;sun;n;;;
rainy;regnerisch;5;10;0;0;4;rainy;a;;;
rain;Regen;4;5;0;0;3;rain;n;;;
beautiful;schön;9;5;0;0;8;beautiful;a;;;
these;die, diese (hier);5;17;0;0;4;these;z;;;
tomorrow;morgen;8;6;0;0;7;tomorrow;z;;;
give;geben;4;5;0;0;3;give;v;;;
go;gehen: ich ging/ ich bin gegangen;2;33;0;0;1;go;v;go;went;gone
stay;beleiben: ich blieb/ich bin geblieben;4;37;0;0;3;stay;v;;;
funny;witzig, komisch;5;15;0;0;4;funny;a;;;
poor Ellie;(die) arme Ellie;10;16;5;5;9;Ellie;r;;;
yesterday;gestern;9;7;0;0;8;yesterday;z;;;
read;lesen: is las/ich habe gelesen;4;30;0;0;3;read;v;read;read;read
have to do sth.;etwas tun müssen;15;16;5;5;14;to do sth.;v;;;
class;Unterricht, Kurs;5;16;0;0;4;class;n;;;
I'd like to go home.;Ich würde gern nach Hause gehen.;20;32;4;4;19;like to go home.;s;;;
meet;treffen: ich traf/ich habe getrofen;4;35;0;0;3;meet;v;meet;met;met
chain;Kette;5;5;0;0;4;chain;n;;;
we didn't have a ...;wir hatten kein/keine ...;20;25;3;3;19;didn't have a ...;r;;;
get;bekommen: ich bekam/ich habe bekommen;3;37;0;0;2;get;v;get;got;got
its name;sein Name/ihr Name;8;18;4;4;7;name;z;;;
quite;ziemlich;5;8;0;0;4;quite;z;;;
at break;in der Pause (zwischen Schulstunden);8;36;3;3;7;break;z;;;
alone;allein;5;6;0;0;4;alone;z;;;
long;lang;4;4;0;0;3;long;a;;;
short;kurz;5;4;0;0;4;short;a;;;
newsletter;Mitteilungsblatt, Informationsblatt;10;35;0;0;9;newsletter;n;;;
lunchtime;Mittagszeit;9;11;0;0;8;lunchtime;n;;;
unfit;nicht fit;5;9;0;0;4;unfit;a;;;
get fit/hot/...;fit/heiß/... werden;15;19;4;4;14;fit/hot/...;v;;;
experiment;Experimen, Versuch;10;18;0;0;9;experiment;n;;;
act;Theater spielen, schauspielern;3;30;0;0;2;act;v;;;
do;machen, tun;2;11;0;0;1;do;v;do;did;done
Christmas;Weihnachten;9;11;0;0;8;Christmas;n;;;
play;Theaterstück;4;12;0;0;3;play;n;;;
healthy;gesund;7;6;0;0;6;healthy;a;;;
yummy;lecker;5;6;0;0;4;yummy;a;;;
trip;Ausflug, Reise;4;14;0;0;3;trip;n;;;
Which club?;Welcher Klub?;11;13;6;6;10;club?;r;;;
project;Projekt;7;7;0;0;6;project;n;;;
better;besser;6;6;0;0;5;better;a;;;
more ideas;mehr Ideen, weitere Ideen;10;25;5;5;9;ideas;r;;;
find sth. out;etwas herausfinden;13;18;5;5;12;sth. out;v;;;
put sth. in;etwas einsetzen, eingeben;11;25;4;4;10;sth. in;v;;;
circle;Kreis;6;5;0;0;5;circle;n;;;
so;also, deshalb, daher;2;20;0;0;1;so;z;;;
channel;Kanal;7;5;0;0;6;channel;n;;;
drive;(mit dem Auto) fahren;5;21;0;0;4;drive;v;drive;drove;driven
make friends;Freunde finden;12;14;5;5;11;friends;v;make friends;made friends;made friends
be/feel homesick;Heimweh haben;16;13;8;8;15;homesick;r;;;
present;Gegenwart;7;9;0;0;6;present;n;;;
past;Vergangenheit;4;13;0;0;3;past;n;;;
be;sein;2;4;0;0;1;be;v;be;was/were;been
feel;(sich) fühlen;4;13;0;0;3;feel;v;feel;felt;felt
find;finden;4;6;0;0;3;find;v;find;found;found
give;geben;4;5;0;0;3;give;v;give;gave;given
have;haben;4;5;0;0;3;have;v;have;had;had
make;machen;4;6;0;0;3;make;v;make;made;made
put in;eingeben, einsetzen;6;19;4;4;5;in;v;put in;put in;put in
say;sagen;3;5;0;0;2;say;v;say;said;said
rule;Regel;4;5;0;0;3;rule;n;;;
sentence;Satz;8;4;0;0;7;sentence;n;;;
look for;suchen;8;6;5;5;7;for;v;;;
ask sb. about sth.;sich bei jm. Nach etwas erkundigen;18;34;4;4;17;sb. about sth.;v;;;
in the end;schließlich, zum Schluss;10;24;3;3;9;the end;r;;;
winner;Gewinner;6;8;0;0;5;winner;n;;;
each;jeder/jede/jedes (einzelne);4;27;0;0;3;each;z;;;
finish;beenden, zu Ende machen;6;23;0;0;5;finish;v;;;
forget;vergessen;6;9;0;0;5;forget;v;forget;forgot;forgotten
buy;kaufen;3;6;0;0;2;buy;v;buy;bought;bought
come;kommen;4;6;0;0;3;come;v;come;came;come
drink;trinken;5;7;0;0;4;drink;v;drink;drank;drunk
eat;essen;3;5;0;0;2;eat;v;eat;ate;eaten
see;sehen;3;5;0;0;2;see;v;see;saw;sawn
sit;sitzen;3;6;0;0;2;sit;v;sit;sat;sat
think;denken;5;6;0;0;4;think;v;think;thought;thought
understand;verstehen;10;9;0;0;9;understand;v;understand;understood;understood
win;gewinnen;3;8;0;0;2;win;v;win;won;won
write;schreiben;5;9;0;0;4;write;v;write;wrote;written
a few;ein paar, einige;5;16;2;2;4;few;z;;;
minute;Minute;6;6;0;0;5;minute;n;;;
for a few minutes;ein paar Minuten (lang);17;23;4;4;16;a few minutes;r;;;
Next ...;Als Nächstes ...;8;16;5;5;7;...;r;;;
another;ein(e ) andere(r, s), noch ein€;7;31;0;0;6;another;z;;;
without;ohne;7;4;0;0;6;without;z;;;
answer;antworten, beantworten;6;22;0;0;5;answer;n;;;
when;als;4;3;0;0;3;when;z;;;
at first;zuerst, am Anfang;8;17;3;3;7;first;z;;;
get sth., got sth.;(sich) etwas holen, (sich) etwas besorgen;18;41;4;4;17;sth., got sth.;v;;;
school yard;Schulhof;11;8;7;7;10;yard;n;;;
wait (for);warten (auf);10;12;5;5;9;(for);v;;;
surprised;überrascht;9;10;0;0;8;surprised;a;;;
sad;traurig;3;7;0;0;2;sad;a;;;
just like Berry;genau wie Berry;15;15;5;5;14;like Berry;r;;;
eye;Auge;3;4;0;0;2;eye;n;;;
What's the matter?;Was ist denn?/Was ist los?;18;26;7;7;17;the matter?;s;;;
die;sterben;3;7;0;0;2;die;v;;;
that's why;deshalb, darum;10;14;7;7;9;why;r;;;
cry;weinen;3;6;0;0;2;cry;v;;;
unfriendly;unfreundlich;10;12;0;0;9;unfriendly;a;;;
collect;sammeln;7;7;0;0;6;collect;v;;;
opposite;Gegenteil;8;9;0;0;7;opposite;n;;;
tip;Tipp;3;4;0;0;2;tip;n;;;
ice cream;(Speise-)Eis;9;12;4;4;8;cream;n;;;
strange;seltsam, sonderbar;7;18;0;0;6;strange;a;;;
wear;tragen, anhaben (Kleidung);4;26;0;0;3;wear;v;wear;wore;worn
mustn't do;nicht tun dürfen;10;16;8;8;9;do;r;;;
scarf;Schal;5;5;0;0;4;scarf;n;;;
Oh dear.;Oje!;8;4;3;3;7;dear.;r;;;
angry;wütend;5;6;0;0;4;angry;a;;;
shy;schüchtern, scheu;3;17;0;0;2;shy;a;;;
neighbour;Nachbar/in;9;10;0;0;8;neighbour;n;;;
post office;Postamt;11;7;5;5;10;office;n;;;
garage;(Auto-)Werkstatt;6;16;0;0;5;garage;n;;;
